district_name,parent_state_code
Nicobar,1
North andaman,1
South andaman,1
Anantapur,2
Chittoor,2
East Godavari,2
Guntur,2
Krishna,2
Kurnool,2
Nellore,2
Prakasam,2
Srikakulam,2
Visakhapatnam,2
Vizianagaram,2
West Godavari,2
YSR Kadapa,2
Anjaw,3
Changlang,3
Dibang Valley,3
East Kameng,3
East Siang,3
Kamle,3
Kra Daadi,3
Kurung Kumey,3
Lepa Rada,3
Lohit,3
Longding,3
Lower Dibang Valley,3
Lower Siang,3
Lower Subansiri,3
Namsai,3
Pakke kessang,3
Papum Pare,3
Shi Yomi,3
Siang,3
Tawang,3
Tirap,3
Upper Siang,3
Upper Subansiri,3
West Kameng,3
West Siang,3
Baksa,4
Barpeta,4
Biswanath,4
Bongaigaon,4
Cachar,4
Charaideo,4
Chirang,4
Darrang,4
Dhemaji,4
Dhubri,4
Dibrugarh,4
Dima Hasao,4
Goalpara,4
Golaghat,4
Hailakandi,4
Hojai,4
Jorhat,4
Kamrup,4
Kamrup Metropolitan,4
Karbi Anglong,4
Karimganj,4
Kokrajhar,4
Lakhimpur,4
Majuli,4
Marigaon,4
Nagaon,4
Nalbari,4
Sivasagar,4
Sonitpur,4
South Salmara-Mankachar,4
Tinsukia,4
Udalguri,4
West Karbi Anglong,4
Araria,5
Arwal,5
Aurangabad,5
Banka,5
Begusarai,5
Bhagalpur,5
Bhojpur,5
Buxar,5
Darbhanga,5
East Champaran (Motihari),5
Gaya,5
Gopalganj,5
Jamui,5
Jehanabad,5
Kaimur (Bhabua),5
Katihar,5
Khagaria,5
Kishanganj,5
Lakhisarai,5
Madhepura,5
Madhubani,5
Munger (Monghyr),5
Muzaffarpur,5
Nalanda,5
Nawada,5
Patna,5
Purnia (Purnea),5
Rohtas,5
Saharsa,5
Samastipur,5
Saran,5
Sheikhpura,5
Sheohar,5
Sitamarhi,5
Siwan,5
Supaul,5
Vaishali,5
West Champaran,5
Chandigarh,6
Balod,7
Baloda Bazar,7
Balrampur,7
Bastar,7
Bemetara,7
Bijapur,7
Bilaspur,7
Dantewada (South Bastar),7
Dhamtari,7
Durg,7
Gariyaband,7
Gaurella Pendra Marwahi,7
Janjgir-Champa,7
Jashpur,7
Kabirdham (Kawardha),7
Kanker (North Bastar),7
Kondagaon,7
Korba,7
Korea (Koriya),7
Mahasamund,7
Mungeli,7
Narayanpur,7
Raigarh,7
Raipur,7
Rajnandgaon,7
Sukma,7
Surajpur,7
Surguja,7
Dadra & Nagar Haveli,8
Daman,8
Diu,8
Central Delhi,9
East Delhi,9
New Delhi,9
North Delhi,9
North East  Delhi,9
North West  Delhi,9
Shahdara,9
South Delhi,9
South East Delhi,9
South West  Delhi,9
West Delhi,9
North Goa,10
South Goa,10
Ahmedabad,11
Amreli,11
Anand,11
Aravalli,11
Banaskantha (Palanpur),11
Bharuch,11
Bhavnagar,11
Botad,11
Chhota Udepur,11
Dahod,11
Dangs (Ahwa),11
Devbhoomi Dwarka,11
Gandhinagar,11
Gir Somnath,11
Jamnagar,11
Junagadh,11
Kachchh,11
Kheda (Nadiad),11
Mahisagar,11
Mehsana,11
Morbi,11
Narmada (Rajpipla),11
Navsari,11
Panchmahal (Godhra),11
Patan,11
Porbandar,11
Rajkot,11
Sabarkantha (Himmatnagar),11
Surat,11
Surendranagar,11
Tapi (Vyara),11
Vadodara,11
Valsad,11
Ambala,12
Bhiwani,12
Charkhi Dadri,12
Faridabad,12
Fatehabad,12
Gurgaon,12
Hisar,12
Jhajjar,12
Jind,12
Kaithal,12
Karnal,12
Kurukshetra,12
Mahendragarh,12
Mewat,12
Palwal,12
Panchkula,12
Panipat,12
Rewari,12
Rohtak,12
Sirsa,12
Sonipat,12
Yamunanagar,12
Bilaspur,13
Chamba,13
Hamirpur,13
Kangra,13
Kinnaur,13
Kullu,13
Lahaul & Spiti,13
Mandi,13
Shimla,13
Sirmaur (Sirmour),13
Solan,13
Una,13
Anantnag,14
Bandipore,14
Baramulla,14
